pressure,pressure_coefficient,dynamic_pressure,absolute_pressure,total_pressure,rel_total_pressure,density,density_all,velocity_magnitude,x_velocity,y_velocity,z_velocity,axial_velocity,radial_velocity,tangential_velocity,rel_velocity_magnitude,relative_x_velocity,relative_y_velocity,relative_z_velocity,rel_tangential_velocity,mesh_x_velocity,mesh_y_velocity,mesh_z_velocity,velocity_angle,relative_velocity_angle,vorticity_mag,helicity,x_vorticity,y_vorticity,z_vorticity,cell_reynolds_number,turb_kinetic_energy,turb_intensity,turb_diss_rate,specific_diss_rate,production_of_k,viscosity_turb,viscosity_eff,viscosity_ratio,y_star,y_plus,turb_reynolds_number_rey,viscosity_lam,wall_shear,x_wall_shear,y_wall_shear,z_wall_shear,skin_friction_coef,cell_partition_active,cell_partition_stored,cell_id,cell_element_type,cell_type,cell_zone,partition_neighbors,cell_weight,x_coordinate,y_coordinate,z_coordinate,axial_coordinate,angular_coordinate,abs_angular_coordinate,radial_coordinate,face_area_magnitude,x_face_area,y_face_area,z_face_area,cell_volume,orthogonal_quality,cell_equiangle_skew,cell_equivolume_skew,face_handedness,mark_poor_elememts,interface_overlap_fraction,cell_wall_distance,adaption_function,adaption_curvature,adaption_space_gradient,adaption_iso_value,boundary_cell_dist,boundary_normal_dist,cell_volume_change,cell_surface_area,cell_warp,cell_children,cell_refine_level,mass_imbalance,strain_rate_mag,dx_velocity_dx,dy_velocity_dx,dz_velocity_dx,dx_velocity_dy,dy_velocity_dy,dz_velocity_dy,dx_velocity_dz,dy_velocity_dz,dz_velocity_dz,dp_dx,dp_dy,dp_dz,velocity:0,velocity:1,velocity:2,vtkOriginalPointIds,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
29.659,0.953736,0.0499365,74689.7,29.7113,29.7113,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.438507,0.438507,12.3827,-0.149887,4.59062,6.75042,-5.72689,72.1956,0.00944081,0.0100002,0.118276,245.205,0,3.596e-005,5.3936e-005,2.00045,17.54,11.4233,28.2766,1.7976e-005,0.00161512,0.000480474,0.000457595,0.00140719,5.19328e-005,1,1,4.42565e+006,2,1,28,3,6,-0.001,2.33284,-0.364591,-0.364591,0.000427899,0.000427899,2.33284,0.000340307,0.000172311,-0.000163202,3.98447e-005,2.19684e-006,0.655077,0.38408,0.344894,0,0,0,0.00526919,4.08755e-005,1.30065e-007,1.89495e-007,1.89495e-007,1.10804,0,1.19631,0.0013109,0.290785,0,0,7.97725e-009,21.6323,-7.25953,-3.54387,-6.77817,2.18302,5.81414,7.10807,-0.0277496,2.51745,3.36814,0,0,0,0,0,0,0,-0.001,2.33284,-0.364591,0,0,2
29.6584,0.953738,0.0501673,74689.7,29.7116,29.7116,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.448093,0.448093,12.4999,-0.131251,4.6124,6.8819,-5.83743,72.542,0.00960045,0.0100001,0.121045,249.052,0,3.40665e-005,5.20425e-005,1.89511,17.4005,11.3244,27.1573,1.7976e-005,0.00163541,0.000514012,0.000457771,0.00140462,5.25853e-005,1,1,4.42136e+006,2,1,28,3,6,-0.001,2.33263,-0.365424,-0.365424,0.000428849,0.000428849,2.33264,0.000341691,0.000173523,-0.000163369,3.98854e-005,2.16957e-006,0.655072,0.384456,0.344928,0,0,0,0.00513341,4.09995e-005,1.27964e-007,1.90482e-007,1.90482e-007,1.09482,0,1.19225,0.00130117,0.28964,0,0,7.99659e-009,21.6732,-7.28142,-3.45597,-6.80243,2.38146,5.72203,7.1516,0.0794778,2.5392,3.58729,0,0,0,0,0,0,1,-0.001,2.33263,-0.365424,1,0,2
29.6745,0.954174,0.0225468,74689.7,29.6975,29.6975,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.382922,0.382922,13.0177,-0.224885,1.44865,4.21714,-5.7831,61.2384,0.00718738,0.00833999,0.0840021,241.742,0,2.70462e-005,4.50222e-005,1.50457,12.2752,7.43373,23.1684,1.7976e-005,0.00103107,0.000306095,0.00016123,0.000891478,3.31534e-005,1,1,4.82784e+006,2,1,28,3,6,-0.001,2.3273,-0.387289,-0.387289,0.000430806,0.000430806,2.3273,0.000310108,0.000126478,-0.000173611,3.65229e-005,1.94688e-006,0.623283,0.449031,0.376717,0,0,0,0.00536336,3.27856e-005,8.24411e-008,2.06186e-007,2.06186e-007,1.15467,0,1.10479,0.0012842,0.246132,0,0,1.16921e-008,22.1118,-3.51954,-1.59753,-3.4175,4.18556,1.12368,4.51819,0.799644,3.06955,1.86815,0,0,0,0,0,0,3,-0.001,2.3273,-0.387289,2,0,2
29.6477,0.953303,0.0529841,74689.7,29.7008,29.7008,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168303,0.168303,15.4621,-1.59305,7.20222,6.59956,-8.64287,83.3883,0.00787084,0.00889037,0.0756711,197.071,0,3.69407e-005,5.49167e-005,2.055,18.6761,12.8151,27.3093,1.7976e-005,0.0015351,0.000223957,0.000489797,0.00137747,4.93598e-005,1,1,4.09643e+006,2,1,28,3,6,-0.001,2.3364,-0.35,-0.35,0.000427899,0.000427899,2.3364,0.000348505,0.000174452,-0.000169087,4.12815e-005,2.70782e-006,0.636021,0.415152,0.36395,0,0,0,0.00567733,2.60698e-005,2.10184e-007,1.73841e-007,1.73841e-007,1.05358,0,1.12972,0.00151456,0.311858,0,0,1.07449e-008,23.3664,-3.94061,-7.73028,-9.35858,0.912589,5.57109,6.45817,-2.75902,-0.744045,-2.29773,0,0,0,0,0,0,6,-0.001,2.3364,-0.35,3,0,2
29.6921,0.954783,0.0449959,74689.7,29.7389,29.7389,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.39054,1.39054,14.551,-0.061492,0.184732,1.4684,-11.1813,42.0461,0.0153387,0.0128037,0.192494,277.127,0,7.15257e-005,8.95017e-005,3.97895,19.2231,9.90956,36.4561,1.7976e-005,0.0014936,0.000995919,0.00076339,6.81235e-005,4.80256e-005,1,1,2.90592e+006,2,1,28,3,6,-0.001,2.35556,-0.417211,-0.417211,0.000423315,0.000423315,2.35557,0.000293735,0.00014513,-2.03222e-005,-0.000147209,1.87548e-006,0.74027,0.366594,0.25973,0,0,0,0.00528475,3.33474e-005,8.82454e-008,2.29525e-007,2.29525e-007,1.11615,0,1.13657,0.00117918,0.184309,0,0,1.65426e-009,31.482,-6.96666,-9.31191,-1.83379,1.86939,10.9799,-3.80831,-0.365385,-3.99304,5.99735,0,0,0,0,0,0,1,-0.001,2.35556,-0.417211,0,0,3
29.2828,0.941853,0.0527831,74689.3,29.3446,29.3446,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72359,-1.72359,33.6057,3.01223,-25.8198,0.830282,9.65909,68.9535,0.0101452,0.0107424,0.140939,265.972,0,4.3033e-005,6.1009e-005,2.39391,15.956,10.4708,31.1638,1.7976e-005,0.00174141,-0.000391533,0.00075952,-0.000722905,5.59938e-005,1,1,3.49859e+006,2,1,28,3,6,-0.001,2.47283,-0.469418,-0.469418,0.000406664,0.000406664,2.47284,0.000351849,0.000163251,-0.000129272,-0.000137324,1.97966e-006,0.742925,0.321663,0.257075,0,0,0,0.0052666,2.54526e-005,6.23053e-008,1.21191e-007,1.21191e-007,1.22854,0,1.40578,0.00119279,0.264748,0,0,-4.1732e-009,38.0555,12.5003,3.66371,2.25318,-5.99539,0.677936,-9.72904,3.08347,16.0907,-4.88281,0,0,0,0,0,0,2,-0.001,2.47283,-0.469418,1,0,3
29.1892,0.937474,0.2446,74689.2,29.4002,29.4002,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.4692,2.4692,38.9327,-7.72567,-23.9311,5.62235,11.5916,93.2412,0.0207216,0.0151866,0.344676,336.643,0,7.97003e-005,9.76763e-005,4.43371,24.8249,18.7299,44.2392,1.7976e-005,0.00482454,0.000763966,0.00411484,-0.0019058,0.000155129,1,1,4.08183e+006,2,1,28,3,6,-0.001,2.44194,-0.440339,-0.440339,0.000409489,0.000409489,2.44195,0.000359561,0.000169276,-0.000109911,-0.000144949,2.20924e-006,0.683657,0.406949,0.313864,0,0,0,0.00555457,3.99207e-005,2.16044e-007,2.90408e-007,2.90408e-007,1.18255,0,1.34708,0.00131513,0.252831,0,0,-8.52517e-010,38.7058,0.0148871,7.13465,1.85556,-4.45697,3.10154,-4.64207,7.47791,19.289,-1.00343,0,0,0,0,0,0,4,-0.001,2.44194,-0.440339,2,0,3
29.6787,0.954272,0.0229795,74689.7,29.701,29.701,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.635029,0.635029,11.1799,-0.493024,1.19604,1.37992,-4.80541,71.1959,0.00691332,0.00784452,0.0673794,204.533,0,2.47855e-005,4.27615e-005,1.37881,12.9739,7.45732,20.1991,1.7976e-005,0.00073853,0.000342407,-3.95328e-006,0.00038022,2.37468e-005,1,1,4.84344e+006,2,1,28,3,6,-0.001,2.32223,-0.41261,-0.41261,0.000427271,0.000427271,2.32224,0.000307591,0.000109385,-9.77993e-005,-9.23589e-005,2.09135e-006,0.64047,0.429617,0.35953,0,0,0,0.00479632,2.42253e-005,7.84918e-008,2.00081e-007,2.00081e-007,1.03295,0,1.07005,0.00132846,0.238884,0,0,1.1949e-008,26.563,4.1425,0.803427,-4.55018,5.60884,-0.376058,1.09504,-3.17026,-0.100999,2.40268,0,0,0,0,0,0,6,-0.001,2.32223,-0.41261,3,0,3
29.4558,0.947095,0.239396,74689.5,29.6942,29.6942,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44754,1.44754,24.335,-6.40764,-14.7965,-0.98416,-7.28809,80.0556,0.0207582,0.0154519,0.293957,323.091,0,0.000109829,0.000127805,6.10977,25.721,18.7898,54.8958,1.7976e-005,0.00454962,0.00128426,0.00401585,-0.000443699,0.000146289,1,1,3.68654e+006,2,1,28,3,6,-0.001,2.40902,-0.424591,-0.424591,0.000415098,0.000415098,2.40902,0.000368264,0.000215695,-3.7826e-005,-0.000140484,2.37438e-006,0.617975,0.386463,0.382025,0,0,0,0.00664466,4.1439e-005,2.52887e-007,3.27328e-007,3.27328e-007,1.28516,0,1.59443,0.00135865,0.363421,0,0,4.1503e-010,35.4612,-11.0497,-5.66598,1.58257,1.6221,9.8416,-4.37026,0.598406,10.4262,4.22136,0,0,0,0,0,0,12,-0.001,2.40902,-0.424591,4,0,3
29.6609,0.953982,0.0770483,74689.7,29.746,29.746,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.52644,1.52644,19.429,0.258651,-2.59216,2.87639,-10.7727,52.8228,0.0167866,0.013193,0.210744,280.705,0,7.17036e-005,8.96796e-005,3.98885,20.8543,12.5709,42.2243,1.7976e-005,0.00218087,0.00105499,0.00168206,-0.000134458,7.01242e-005,1,1,3.56226e+006,2,1,28,3,6,-0.001,2.37624,-0.420065,-0.420065,0.000418388,0.000418388,2.37624,0.000304144,0.000132058,-2.35332e-005,-0.000170469,1.91656e-006,0.707051,0.399469,0.292949,0,0,0,0.00594619,3.11856e-005,1.09562e-007,1.98166e-007,1.98166e-007,1.20205,0,1.22264,0.00120917,0.182839,0,0,9.1758e-010,37.4292,-11.0798,-11.2219,-1.62863,-0.449244,15.0833,0.842714,1.24776,3.43487,0.884892,0,0,0,0,0,0,13,-0.001,2.37624,-0.420065,5,0,3
