pressure,pressure_coefficient,dynamic_pressure,absolute_pressure,total_pressure,rel_total_pressure,density,density_all,velocity_magnitude,x_velocity,y_velocity,z_velocity,axial_velocity,radial_velocity,tangential_velocity,rel_velocity_magnitude,relative_x_velocity,relative_y_velocity,relative_z_velocity,rel_tangential_velocity,mesh_x_velocity,mesh_y_velocity,mesh_z_velocity,velocity_angle,relative_velocity_angle,vorticity_mag,helicity,x_vorticity,y_vorticity,z_vorticity,cell_reynolds_number,turb_kinetic_energy,turb_intensity,turb_diss_rate,specific_diss_rate,production_of_k,viscosity_turb,viscosity_eff,viscosity_ratio,y_star,y_plus,turb_reynolds_number_rey,viscosity_lam,wall_shear,x_wall_shear,y_wall_shear,z_wall_shear,skin_friction_coef,cell_partition_active,cell_partition_stored,cell_id,cell_element_type,cell_type,cell_zone,partition_neighbors,cell_weight,x_coordinate,y_coordinate,z_coordinate,axial_coordinate,angular_coordinate,abs_angular_coordinate,radial_coordinate,face_area_magnitude,x_face_area,y_face_area,z_face_area,cell_volume,orthogonal_quality,cell_equiangle_skew,cell_equivolume_skew,face_handedness,mark_poor_elememts,interface_overlap_fraction,cell_wall_distance,adaption_function,adaption_curvature,adaption_space_gradient,adaption_iso_value,boundary_cell_dist,boundary_normal_dist,cell_volume_change,cell_surface_area,cell_warp,cell_children,cell_refine_level,mass_imbalance,strain_rate_mag,dx_velocity_dx,dy_velocity_dx,dz_velocity_dx,dx_velocity_dy,dy_velocity_dy,dz_velocity_dy,dx_velocity_dz,dy_velocity_dz,dz_velocity_dz,dp_dx,dp_dy,dp_dz,velocity:0,velocity:1,velocity:2,vtkOriginalPointIds,Points:0,Points:1,Points:2,vtkOriginalIndices,vtkCompositeIndexArray,,,,z,y,cp
29.6426,0.953129,0.0517998,74689.6,29.6942,29.6942,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0313788,0.0313788,17.1762,-2.22166,8.78369,6.64618,-9.98406,88.8539,0.00706864,0.008268,0.0559201,176.792,0,3.35E-05,5.15E-05,1.86452,18.8098,13.144,24.9164,1.80E-05,0.00145071,7.29E-05,0.000506804,0.00130863,4.66E-05,1,1,3.94E+06,2,1,28,3,6,-0.001,2.33845,-0.341607,-0.341607,0.000426394,0.000426394,2.33845,0.000355823,0.000173324,-0.000167699,5.08E-05,2.94E-06,0.626837,0.430548,0.373163,0,0,0,0.00567282,1.92E-05,2.45E-07,1.64E-07,1.64E-07,1.00697,0,1.09363,0.00160628,0.321491,0,0,1.19E-08,24.8394,-2.09062,-9.87044,-10.4611,0.113617,5.3972,5.9202,-3.81487,-2.86349,-5.32424,0,0,0,0,0,0,0,-0.001,2.33845,-0.341607,0,2,,,,-0.341607,2.54192,0.897968
29.6477,0.953303,0.0529841,74689.7,29.7008,29.7008,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.168303,0.168303,15.4621,-1.59305,7.20222,6.59956,-8.64287,83.3883,0.00787084,0.00889037,0.0756711,197.071,0,3.69E-05,5.49E-05,2.055,18.6761,12.8151,27.3093,1.80E-05,0.0015351,0.000223957,0.000489797,0.00137747,4.94E-05,1,1,4.10E+06,2,1,28,3,6,-0.001,2.3364,-0.35,-0.35,0.000427899,0.000427899,2.3364,0.000348505,0.000174452,-0.000169087,4.13E-05,2.71E-06,0.636021,0.415152,0.36395,0,0,0,0.00567733,2.61E-05,2.10E-07,1.74E-07,1.74E-07,1.05358,0,1.12972,0.00151456,0.311858,0,0,1.07E-08,23.3664,-3.94061,-7.73028,-9.35858,0.912589,5.57109,6.45817,-2.75902,-0.744045,-2.29773,0,0,0,0,0,0,3,-0.001,2.3364,-0.35,1,2,,,,-0.35,2.54156,0.963284
29.3758,0.943874,0.317012,74689.4,29.6716,29.6716,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751689,-0.751689,22.8124,-5.31402,12.2696,-1.18877,-9.20383,101.486,0.0186119,0.0147667,0.252485,350.642,0,0.000126144,0.00014412,7.01734,24.1041,19.5464,59.6481,1.80E-05,0.00539264,-0.000752127,0.00517873,0.00066679,0.000173396,1,1,5.31E+06,2,1,28,3,6,-0.001,2.43956,-0.31396,-0.31396,0.000405843,0.000405843,2.43956,0.000350835,0.000147877,-1.79E-06,0.000202766,2.40E-06,0.660494,0.410955,0.339506,0,0,0,0.0074596,3.84E-05,3.36E-07,2.76E-07,2.76E-07,1.47922,0,1.32019,0.0013986,0.280933,0,0,4.27E-10,29.01,7.14393,-9.6819,0.577519,-0.478066,-1.43616,-1.49638,-0.611254,-13.7659,-3.93132,0,0,0,0,0,0,0,-0.001,2.43956,-0.31396,0,4,,,,-0.31396,2.53593,0.989372
29.559,0.950098,0.141286,74689.6,29.6895,29.6895,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309051,-0.309051,25.9148,-6.6103,11.9009,-1.07398,-9.51793,75.1351,0.0123986,0.0126316,0.180135,277.2,0,8.89E-05,0.000106849,4.94395,18.4654,13.0572,53.1823,1.80E-05,0.00260129,-0.000203765,0.00227103,0.000747179,8.36E-05,1,1,5.04E+06,2,1,28,3,6,-0.001,2.37605,-0.31396,-0.31396,0.000426394,0.000426394,2.37605,0.000420223,0.000184971,-9.96E-06,0.000227431,2.76E-06,0.64658,0.420682,0.35342,0,0,0,0.00735578,4.21E-05,3.37E-07,2.81E-07,2.81E-07,1.48953,0,1.27276,0.00154551,0.288445,0,0,4.72E-09,40.3717,2.8974,-11.7131,-0.663286,-2.19515,12.5282,-0.0538584,-1.73726,-11.9547,-11.1663,0,0,0,0,0,0,4,-0.001,2.37605,-0.31396,1,4,,,,-0.31396,2.53273,0.987558
29.5846,0.95126,0.0522516,74689.6,29.6366,29.6366,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46804,-1.46804,17.4787,0.354162,5.63727,3.007,-4.72569,73.2033,0.00885843,0.00958709,0.0958875,243.161,0,3.78E-05,5.58E-05,2.1024,15.9691,10.6238,26.9839,1.80E-05,0.00167698,-0.000358228,0.00144128,8.93E-05,5.39E-05,1,1,4.17E+06,2,1,28,3,6,-0.001,2.50857,-0.304346,-0.304346,0.000400511,0.000400511,2.50857,0.000257815,0.000122451,-2.85E-05,0.000132327,1.74E-06,0.640583,0.40859,0.359417,0,0,0,0.00523202,1.81E-05,1.26E-07,1.59E-07,1.59E-07,1.0811,0,1.11106,0.00112877,0.292457,0,0,4.59E-10,22.7307,3.45842,-5.92083,-1.73405,-1.19514,-7.59315,-0.983859,1.27295,-6.62113,-2.80959,0,0,0,0,0,0,6,-0.001,2.50857,-0.304346,2,4,,,,-0.304346,2.53103,0.952022
29.4226,0.94572,0.254426,74689.4,29.6665,29.6665,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424806,-0.424806,30.4132,1.61549,11.5209,10.7729,-23.2711,134.815,0.0165063,0.0132353,0.231063,290.837,0,5.99E-05,7.79E-05,3.33369,27.2664,21.551,36.1134,1.80E-05,0.00432739,-0.000300428,0.00420568,0.000626385,0.000139144,1,1,5.31E+06,2,1,28,3,6,-0.001,2.4082,-0.31396,-0.31396,0.000415352,0.000415352,2.4082,0.000375428,0.000211233,2.35E-14,0.000164196,2.95E-06,0.605821,0.499532,0.394179,0,0,0,0.00514837,3.83E-05,1.40E-07,3.50E-07,3.50E-07,1.0322,0,1.02569,0.00163166,0.328962,0,0,6.55E-09,36.6965,0.12331,-25.2286,-9.6793,-1.95758,4.67701,-2.26619,1.09365,-13.7871,-2.99806,0,0,0,0,0,0,10,-0.001,2.4082,-0.31396,3,4,,,,-0.31396,2.52666,0.951722
29.6561,0.953573,0.0227893,74689.7,29.679,29.679,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426027,-0.426027,20.8371,-0.952854,9.83671,14.1225,-9.81732,82.9352,0.00390849,0.00633168,0.0341688,174.585,0,1.43E-05,3.22E-05,0.793923,11.904,8.00505,16.1559,1.80E-05,0.000797514,-0.000133284,0.000284313,0.000609548,2.56E-05,1,1,3.78E+06,2,1,28,3,6,-0.001,2.3452,-0.31396,-0.31396,0.000426394,0.000426394,2.3452,0.000328638,0.000137633,-9.20E-05,0.000118736,2.33E-06,0.612267,0.4936,0.387733,0,0,0,0.00485019,1.76E-05,1.98E-07,1.59E-07,1.59E-07,1.00697,0,1.00682,0.00139344,0.303748,0,0,1.10E-08,38.4215,6.86064,-12.7531,-14.693,-2.93576,3.01876,1.79759,-0.570455,-8.03911,-17.1114,0,0,0,0,0,0,11,-0.001,2.3452,-0.31396,4,4,,,,-0.31396,2.52258,0.951203
29.4077,0.945354,0.25208,74689.4,29.6527,29.6527,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643662,-0.643662,30.0256,4.25742,12.6281,10.1178,-18.8362,106.506,0.0183568,0.01377,0.265618,331.757,0,6.07E-05,7.87E-05,3.37533,23.7919,18.6733,36.34,1.80E-05,0.00483696,-0.000309235,0.00473798,0.000607893,0.000155529,1,1,5.61E+06,2,1,28,3,6,-0.001,2.46395,-0.31396,-0.31396,0.000405843,0.000405843,2.46395,0.000251971,0.000128814,-1.32E-05,0.000121755,1.61E-06,0.58103,0.428376,0.41897,0,0,0,0.00500549,2.38E-05,1.29E-07,1.39E-07,1.39E-07,1.0244,0,1.07456,0.00107793,0.347893,0,0,6.43E-10,30.2244,-0.100491,-16.3773,-5.35134,2.45891,-2.49071,-1.85574,4.76648,-14.4838,-6.49115,0,0,0,0,0,0,12,-0.001,2.46395,-0.31396,5,4,,,,-0.31396,2.51761,0.882715
29.4928,0.948613,0.128195,74689.5,29.6302,29.6302,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648161,-0.648161,28.2113,3.25541,22.4323,7.24125,-9.88762,101.635,0.0138332,0.0116936,0.195575,327.382,0,3.76E-05,5.56E-05,2.09064,19.2677,14.1295,27.3768,1.80E-05,0.00310384,-0.000103227,0.0030416,0.000398024,9.98E-05,1,1,6.05E+06,2,1,28,3,6,-0.001,2.48922,-0.308515,-0.308515,0.000405843,0.000405843,2.48922,0.000234189,9.24E-05,-2.82E-05,0.000138804,1.50E-06,0.521206,0.467595,0.478794,0,0,0,0.00441667,2.43E-05,7.18E-08,9.65E-08,9.65E-08,1.0244,0,1.01546,0.00104463,0.391442,0,0,9.08E-10,33.7463,1.41913,-10.1098,-2.57142,-0.222205,-7.74183,0.602147,4.66983,-21.8301,-9.09054,0,0,0,0,0,0,13,-0.001,2.48922,-0.308515,6,4,,,,-0.308515,2.51527,0.798231
29.599,0.951722,0.0309529,74689.6,29.6296,29.6296,0.95,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0289,-2.0289,18.9245,2.08487,-5.07326,0.98527,-10.5646,71.0128,0.00648597,0.00840522,0.0651116,202.81,0,2.95E-05,4.75E-05,1.6419,14.0584,8.43757,22.1239,1.80E-05,0.000929993,-0.000423038,0.000352701,-0.000351045,2.99E-05,1,1,4.26E+06,2,1,28,3,6,-0.001,2.52666,-0.326041,-0.326041,0.000395567,0.000395567,2.52666,0.000291938,0.000132999,0.000156955,-2.66E-05,1.93E-06,0.710353,0.39774,0.289587,0,0,0,0.00491775,1.85E-05,1.05E-07,1.78E-07,1.78E-07,1.01268,0,1.16835,0.00121077,0.227813,0,0,-3.48E-10,22.5164,3.06648,-4.42996,-2.93452,6.13465,-7.06279,-2.5173,-1.94925,2.55596,3.07799,0,0,0,0,0,0,1,-0.001,2.52666,-0.326041,0,6,,,,-0.326041,2.51441,0.645127
